"Field1","Field2","Field3","Field4","Field5","Field6","Field7","Field8","Field9","Field10","Field11","Field12","Field13","Field14","Field15","Field16","Field17","Field18","Field19","Field20","Field21","Field22","Field23"
"2007","68.5","50.2","28.2","35","93.1","73.400000000000006","77.2","40.9","6.4","1.9","61.8","29.3","72","56.1","71.400000000000006","66.900000000000006","59.5","60.1","76.099999999999994","48.4","55.5","30.9"
"2008","68.900000000000006","50","28.3","32.200000000000003","93.5","74.900000000000006","77.2","40.700000000000003","6.9","2.2999999999999998","61.3","27.9","72","54.9","72.599999999999994","67.8","60.8","60.1","75.8","47.9","55.5","31.8"
"2009","68.099999999999994","50.3","26","32.799999999999997","93.6","76.099999999999994","75.400000000000006","40.700000000000003","7.4","2.1","58.8","26.6","71.8","54.2","72.400000000000006","69.3","60.7","61.1","74.7","47.9","54","32.200000000000003"
"2010","67","50.1","25.9","31.5","92.8","76.400000000000006","73.400000000000006","41.1","6.3","2.2999999999999998","56.3","26.4","70.5","54","72.099999999999994","67.8","61.5","61.4","72.3","47.4","53.6","31.4"
"2011","67.599999999999994","50.4","28.3","32.5","93.7","77.400000000000006","73.8","41.6","6.5","1.7","56.5","24.8","70.599999999999994","54.7","67.8","79","63.3","62.8","72.099999999999994","47.7","55.4","29.3"
"2012","67.8","51.1","29.8","33.700000000000003","94.4","77.900000000000006","73.8","43.9","6.8","1.6","55.5","24.7","72.5","54.2","73","68.400000000000006","63.3","63.1","71.7","48.9","58.5","29.2"
"2013","67.900000000000006","51","30.5","32.5","95.1","79.400000000000006","73.5","43.4","7.3","2.5","55.5","24.8","71.8","53","73.599999999999994","67.2","64.8","63.2","71.400000000000006","48.3","56.1","30.4"
"2014","67.900000000000006","51","28.8","30.4","95.7","80.2","74.599999999999994","44.9","7.7","2.1","53.6","22.7","72.099999999999994","52.2","74.400000000000006","67.400000000000006","65.099999999999994","63.3","71.3","48.3","56.3","29.7"
"2015","67.8","51.3","30.1","30.9","95.1","81.400000000000006","75.400000000000006","45.9","7.6","2.2000000000000002","52.4","21.2","72.3","52.6","74.400000000000006","66.900000000000006","66.3","64.2","70.3","48.3","57.1","29.5"
"2016","67.8","51","32.799999999999997","30.7","95","81.2","75.5","47.1","8.5","2.5","52.8","21.3","72.3","52.1","73.599999999999994","65.7","67.900000000000006","64.599999999999994","69.099999999999994","47.2","58.3","30.6"
"2017","67.3","51.3","32.799999999999997","33.1","95.8","82.2","74.5","47.8","9","2.6","52.4","22.7","71.3","51.5","72.5","66.3","66.7","64","67.7","47.6","56.7","29.4"
"2018","67.400000000000006","51.5","36.4","34.4","95.7","82.6","74.7","49.1","8.8000000000000007","2.4","52.1","23.4","71.7","51.1","72.400000000000006","65.3","70.5","66.099999999999994","66.3","47.5","57.8","29.2"
"","","","","","","","","","","","","","","","","","","","","","",""
